1_0_2_1780_1044_233A_EEEE0000_0_0_0     |  BBC World Sv.                     |  1780_1044_233A_EEEE0000=--------                  |  bbc world sv=bbcradioworldservice
1_0_19_85_2_85_C00000_0_0_0             |  Beate Uhse                        |  85_2_85_C00000=--------                           |  beate uhse=beateuhsetv
1_0_1_4235_2F44_13E_820000_0_0_0        |  BeJoy.kids                        |  4235_2F44_13E_820000=--------                     |  bejoy.kids=bejoykids
1_0_1_D74A_82F_2_11A0000_0_0_0          |  Best Direct                       |  D74A_82F_2_11A0000=--------                       |  best direct=bestdirect
1_0_2_D794_82F_2_11A0000_0_0_0          |  BFBS Radio                        |  D794_82F_2_11A0000=--------                       |  bfbs radio=bfbsuk
1_0_1_3830_3006_233A_EEEE0000_0_0_0     |  Blaze                             |  3830_3006_233A_EEEE0000=--------                  |  blaze=blaze
1_0_1_C4AE_811_2_11A0000_0_0_0          |  BLAZE                             |  C4AE_811_2_11A0000=--------                       |  blaze=blaze
1_0_1_3834_3006_233A_EEEE0000_0_0_0     |  Blaze+1                           |  3834_3006_233A_EEEE0000=--------                  |  blaze+1=blazeplus1
1_0_1_1C86_332C_13E_820000_0_0_0        |  Bloomberg                         |  1C86_332C_13E_820000=--------                     |  bloomberg=bloomberg
1_0_19_C455_837_2_11A0000_0_0_0         |  Bloomberg HD                      |  C455_837_2_11A0000=--------                       |  bloomberg hd=bloomberg
1_0_2_467D_807_600_FFFF0000_0_0_0       |  BNR Nieuwsradio                   |  467D_807_600_FFFF0000=--------                    |  bnr nieuwsradio=bnrnieuwsradio
